 my benchmark2.py
 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
      0.6       1818154467       4324     420479.8      8866.0      1376   1785016273    27145480.4  triton_poi_fused_3                                                                                  
      0.6       1645894382       2500     658357.8     64750.0     54238   1193602561    23896029.9  void gemv2T_kernel_val<int, int, __half, __half, __half, float, (int)128, (int)16, (int)4, (int)4, …
      0.3        847458887        770    1100596.0    465664.0    151036      8459224     1456360.8  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_tn                                         
      0.2        671210339        192    3495887.2    990776.5     80898     48605782     6479514.3  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(T1::Param…
      0.1        373480821       2400     155617.0     49578.0     32613    222895808     4562806.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Param…
      0.1        315050562       1632     193045.7      8872.0      1862    303377777     7509542.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1        181110610        840     215607.9     92126.0     24878      3186836      366434.0  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b…
      0.1        158732052       5088      31197.3     21476.0      9662      3633515      140544.6  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params) 
      0.0        114094403          2   57047201.5  57047201.5  40354327     73740076    23607289.5  _topk_topp_kernel                                                                                   
      0.0        110989439       2352      47189.4     46026.0     30919       968583       28482.0  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b…
      0.0         77993017        648     120359.6     41825.5     14981      1445304      202172.7  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_tn_align8>(T1::Param…
      0.0         69291540       5712      12130.9      4610.0      1590       532475       13768.1  void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType…
      0.0         68898910        264     260980.7    112190.5     79186      1543827      321327.6  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x4_tn_align8>(T1::Params)
      0.0         60113068        240     250471.1     79401.0     78758      1453805      271835.8  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_tn                                          
      0.0         53749607         24    2239567.0   1625112.0    741882      9228512     2117207.0  ampere_fp16_s16816gemm_fp16_256x128_ldg8_relu_f2f_stages_32x3_tn                                    
      0.0         50122760       4512      11108.8     12337.5      1620       673879       29055.7  triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_2                                                  
      0.0         44782527        336     133281.3    132751.0    130764       138599        1602.8  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8>(T1::Params)
      0.0         44448812       4512       9851.2      7361.0      1376      1414481       32415.0  triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      0.0         41424467        168     246574.2     96608.5     93403      5400028      562902.7  ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_tn                                          
      0.0         33937521       2352      14429.2     13603.0      7105        26598        2399.4  void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (i…
      0.0         31794465        456      69724.7     38511.0     24673      1620216      162985.6  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x96x32_stage4_warpsize2x2x1_tensor16x8x16_execute_k…
      0.0         31310043        240     130458.5    181792.0     51395       184085       63716.3  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Param…
      0.0         30253908        336      90041.4     18266.0     17182      1420768      181542.1  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_tn                                          
      0.0         23473815        528      44458.0     25668.5     24306       820664       93128.3  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_…
      0.0         22661906        240      94424.6     95156.5     91355        97334        1756.0  ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn                                                      
      0.0         22480413       3192       7042.7      8001.0      1484        17955        2544.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _…
      0.0         18940783         24     789199.3    562035.5    467056      2553080      515448.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::a…
      0.0         16885716        792      21320.3     20393.0     19628        29718        2557.4  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn                                 
      0.0         16497128        240      68738.0     67737.5     61056        83409        4770.4  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_tn_align8>(T1::Params)
      0.0         15821597        192      82404.2     82244.0     74815        96356        3182.4  ampere_fp16_s16816gemm_fp16_256x64_ldg8_f2f_tn                                                      
      0.0         11531565        102     113054.6     42281.0     40968      5336441      555937.3  void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
      0.0          9891194        240      41213.3     39227.5     36108        56172        4552.1  ampere_s16816gemm_fp16_64x64_ldg8_stages_64x5_tn                                                    
      0.0          8898470        240      37077.0     35756.0     32347        45842        3748.3  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn                                          
      0.0          7099856        384      18489.2     18436.0     17947        20515         311.6  ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_32x6_tn                                     
      0.0          7098277        144      49293.6     45447.0     43262        59638        6437.4  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn                                         
      0.0          5326959       2546       2092.3      1162.0       794       596885       14053.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::arr…
      0.0          5058885        104      48643.1     31047.0     30791       490526       88225.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.0          4505787        816       5521.8      5350.0      4739        11144         931.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0          4054831         48      84475.6     84374.5     79186       102324        3412.7  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_32x6_tn_align8>(T1::Params)
      0.0          4045286        336      12039.5     10229.0      7674        25413        4801.8  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Param…
      0.0          4026559        102      39476.1      5505.0      5345      1990213      243803.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.0          4001333        102      39228.8     15171.0     15011      1704955      182612.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          3577012        336      10645.9     10513.0      9845        14870         574.5  ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn                                           
      0.0          3497853         48      72871.9     72505.0     68546        78961        2299.2  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_tn                                                      
      0.0          2828483        192      14731.7     14759.5     14156        17933         399.4  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x64x32_stage4_warpsize2x2x1_tensor16x8x16_execute_k…
      0.0          2792881         48      58185.0     57852.5     54572        63085        2744.7  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b…
      0.0          2724325       2625       1037.8       917.0       856         5901         294.7  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…
      0.0          2642689        102      25908.7      6530.0      6497       998947      137258.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0          2262634        188      12035.3     18387.5      2017       128869       11798.5  triton_poi_fused_1                                                                                  
      0.0          2164684         48      45097.6     45234.5     44026        46347         772.0  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_64x3_tn_align8>(T1::Param…
      0.0          2123478         48      44239.1     44504.5     43017        45621         856.5  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn                                         
      0.0          2077775        102      20370.3      5633.0      5281      1009123      110455.7  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0          2056141        104      19770.6     19780.0     19108        20389         152.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          2036714         48      42431.5     42593.5     41397        43695         749.5  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn                                 
      0.0          1590063        104      15289.1     15524.0      1760        16026        1896.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          1556768        100      15567.7     15555.0     15299        16707         171.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          1396231        188       7426.8      9362.0      2018       117625        8686.5  triton_per_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_0                                        
      0.0          1155606        288       4012.5      2330.0      1865        20097        3810.0  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __half, float, __half, (bool)0, __…
      0.0          1029362        240       4289.0      4704.5      1498         5777        1413.3  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _…
      0.0           915236         96       9533.7      9506.0      8958        11840         368.0  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_k…
      0.0           560991         48      11687.3     11758.0     11191        12723         333.7  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn                            
      0.0           421722         48       8785.9      8556.0      8041        14798         977.6  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_32x6_tn_align8>(T1::Params)          
      0.0           377318        170       2219.5      1770.5      1161         5779         986.2  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0           226377        100       2263.8      2272.0      1971         2721         129.5  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<cha…
      0.0           199287        109       1828.3      1856.0       884         4199         373.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.0            56485          1      56485.0     56485.0     56485        56485           0.0  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
      0.0            41691          1      41691.0     41691.0     41691        41691           0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::Ten…
      0.0            29907          1      29907.0     29907.0     29907        29907           0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIterat…
      0.0            26738          1      26738.0     26738.0     26738        26738           0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIterat…
      0.0            15466          1      15466.0     15466.0     15466        15466           0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0            12016          4       3004.0      2980.0      1825         4231        1344.6  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
      0.0            11502          2       5751.0      5751.0      5377         6125         528.9  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0             8320          6       1386.7      1280.0      1216         1920         264.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.0             8145          2       4072.5      4072.5      2304         5841        2501.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0             5543          2       2771.5      2771.5      1504         4039        1792.5  void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::where_kernel_impl(at:…
      0.0             3553          2       1776.5      1776.5      1536         2017         340.1  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0             3504          2       1752.0      1752.0      1680         1824         101.8  void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<long>, std::array<char *, (uns…
      0.0             3202          1       3202.0      3202.0      3202         3202           0.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.0             3169          2       1584.5      1584.5      1344         1825         340.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch…
      0.0             2274          1       2274.0      2274.0      2274         2274           0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::Tenso…
      0.0             2017          1       2017.0      2017.0      2017         2017           0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      0.0             1986          1       1986.0      1986.0      1986         1986           0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0             1313          1       1313.0      1313.0      1313         1313           0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<double>, std::array<…
